Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to8,Feature log2 fold change topic 6to8,Feature count topic 9to10,Feature log2 fold change topic 9to10
ENSG00000177133,PRDM16-DT,3,-2.8793,24,0.38850,17,-0.1770,11,-1.0163,44,1.74691
ENSG00000158109,TPRG1L,26,-2.9736,129,-0.5051,233,0.48975,275,1.08895,179,0.06698
ENSG00000130764,LRRC47,25,-1.7989,88,0.26949,87,0.21602,99,0.56848,75,-0.0134
ENSG00000116198,CEP104,113,2.28514,20,-1.1915,37,-0.1384,20,-1.3191,23,-0.9608
ENSG00000196581,AJAP1,30,-0.2529,23,-0.7525,62,0.95019,33,-0.1058,41,0.30372
ENSG00000069424,KCNAB2,13,-4.0412,134,-0.5131,199,0.16406,239,0.62560,295,0.96022
ENSG00000116254,CHD5,16,-3.4425,106,-0.6067,430,1.84127,153,0.03182,186,0.39250
ENSG00000116251,RPL22,1080,0.71575,984,0.52980,268,-1.5656,506,-0.7369,753,0.02675
ENSG00000116237,ICMT,15,-1.2480,28,-0.1839,32,0.04868,43,0.66630,34,0.14443
ENSG00000097021,ACOT7,59,-2.2570,227,-0.0952,218,-0.1501,399,1.21084,206,-0.2709
ENSG00000215788,TNFRSF25,1,-4.1814,17,-0.0775,27,0.66112,25,0.77257,20,0.19700
ENSG00000171680,PLEKHG5,1,-4.5795,16,-0.6180,22,-0.0271,26,0.26774,47,1.48029
ENSG00000162408,NOL9,14,-0.7679,18,-0.3871,34,0.67961,26,0.32296,24,0.10080
ENSG00000162413,KLHL21,20,-0.4508,26,-0.0112,39,0.62494,29,0.15506,24,-0.2142
ENSG00000041988,THAP3,11,-0.7700,16,-0.1316,13,-0.4115,22,0.46631,21,0.31595
ENSG00000007923,DNAJC11,13,-1.2872,26,-0.1354,28,0.01654,34,0.42955,36,0.45080
ENSG00000171735,CAMTA1,119,-0.8465,129,-0.7115,424,1.32387,198,0.03497,217,0.19711
ENSG00000049245,VAMP3,99,1.49013,83,1.07003,21,-1.2798,14,-2.0965,26,-1.0400
ENSG00000049246,PER3,52,0.40200,56,0.55028,46,0.14689,21,-1.2385,46,0.17781
ENSG00000116288,PARK7,175,-1.2253,354,-0.0433,186,-1.0399,477,0.60765,474,0.50476
ENSG00000116285,ERRFI1,12,-0.4841,18,0.19625,21,0.40211,19,0.32468,12,-0.5205
ENSG00000162426,SLC45A1,9,-1.9517,28,-0.0834,29,0.01193,44,0.92347,29,-0.0066
ENSG00000142599,RERE,257,1.48775,61,-1.2096,126,0.02162,90,-0.6234,107,-0.2743
ENSG00000074800,ENO1,192,-2.0052,891,0.57529,472,-0.5207,752,0.28875,835,0.44920
ENSG00000171612,SLC25A33,19,-0.5566,22,-0.3190,15,-0.8724,29,0.18906,40,0.79365
ENSG00000171603,CLSTN1,154,-2.0818,520,-0.1173,794,0.58641,824,0.90542,468,-0.3012
ENSG00000178585,CTNNBIP1,31,-0.5622,39,-0.1532,44,0.04274,48,0.23515,50,0.28642
ENSG00000162441,LZIC,107,1.14218,61,0.04748,47,-0.3917,39,-0.8087,49,-0.3450
ENSG00000130939,UBE4B,39,0.03427,30,-0.4120,58,0.69207,49,0.55610,19,-1.1818
ENSG00000054523,KIF1B,463,0.51811,258,-0.5322,558,0.76521,320,-0.1836,274,-0.4339
ENSG00000142657,PGD,32,-0.8707,82,0.82895,35,-0.6515,62,0.33408,41,-0.4424
ENSG00000175279,CENPS,5,-1.6346,9,-0.6783,25,0.97849,16,0.30546,18,0.52460
ENSG00000241563,CORT,7,-3.5007,136,1.38049,53,-0.4194,80,0.32402,54,-0.4111
ENSG00000160049,DFFA,92,1.00611,53,-0.0634,69,0.36785,33,-0.9721,46,-0.3084
ENSG00000142655,PEX14,4,-2.4460,25,0.42794,28,0.55055,25,0.48742,19,-0.0997
ENSG00000120948,TARDBP,101,0.44625,87,0.15955,73,-0.1404,71,-0.2209,66,-0.3163
ENSG00000116649,SRM,28,-1.4596,66,-0.0636,54,-0.3754,84,0.42907,96,0.62923
ENSG00000171824,EXOSC10,57,0.80050,26,-0.5868,42,0.21370,37,-0.0057,26,-0.6110
ENSG00000198793,MTOR,22,-1.0535,48,0.30937,32,-0.3789,49,0.42195,43,0.11036
ENSG00000116661,FBXO2,83,-1.7962,326,0.52091,156,-0.7191,289,0.33828,314,0.44714
ENSG00000132879,FBXO44,30,-1.8552,70,-0.5287,122,0.40889,125,0.60451,126,0.52514
ENSG00000116670,MAD2L2,14,-0.3786,21,0.34043,23,0.43656,12,-0.6816,23,0.46628
ENSG00000177000,MTHFR,19,-0.1081,13,-0.7436,52,1.61996,20,0.00958,12,-0.7963
ENSG00000011021,CLCN6,34,-1.1723,68,0.01272,105,0.71279,92,0.69018,46,-0.6689
ENSG00000116685,KIAA2013,37,0.13643,41,0.31411,39,0.17862,34,-0.0620,25,-0.5648
ENSG00000083444,PLOD1,17,-0.2639,34,0.95521,7,-1.5113,19,-0.1481,19,-0.1410
ENSG00000116688,MFN2,65,-0.8298,118,0.20785,107,0.01781,130,0.45528,96,-0.1738
ENSG00000116691,MIIP,20,-0.1296,22,0.01156,8,-1.5187,21,-0.0999,32,0.70626
ENSG00000048707,VPS13D,46,-0.3081,55,0.00665,71,0.41175,61,0.22027,46,-0.2928
ENSG00000162496,DHRS3,9,-1.2372,40,1.42119,19,-0.0711,13,-0.7333,20,0.02236
ENSG00000116731,PRDM2,202,0.86047,47,-1.6457,307,1.48486,92,-0.6603,105,-0.3573
ENSG00000189337,KAZN,79,0.65084,60,0.14054,44,-0.3877,60,0.15101,28,-1.1480
ENSG00000142634,EFHD2,11,-3.7215,201,0.87224,155,0.31324,188,0.87368,68,-1.0720
ENSG00000116138,DNAJC16,13,-1.0233,26,0.12937,53,1.32386,25,0.04277,18,-0.4815
ENSG00000197312,DDI2,27,0.08989,16,-0.7730,60,1.45215,29,0.27899,11,-1.3919
ENSG00000116786,PLEKHM2,57,-0.6297,70,-0.2785,75,-0.1427,80,-0.0326,124,0.80027
ENSG00000065526,SPEN,416,2.66786,33,-2.2666,210,0.72232,26,-2.7782,83,-0.8313
ENSG00000116809,ZBTB17,25,0.31857,23,0.16912,13,-0.6891,23,0.21068,15,-0.5378
ENSG00000185519,FAM131C,40,1.44328,18,-0.1713,7,-1.5072,10,-1.2032,21,0.16630
ENSG00000037637,FBXO42,11,-0.7846,18,-0.0077,28,0.70373,18,0.01894,20,0.15824
ENSG00000055070,SZRD1,46,0.71036,37,0.31146,26,-0.2945,21,-0.7529,29,-0.1193
ENSG00000159363,ATP13A2,36,-1.9048,120,0.04925,120,0.04355,179,0.98148,100,-0.2794
ENSG00000117118,SDHB,34,-1.3141,74,-0.0293,28,-1.4772,99,0.62200,103,0.60922
ENSG00000117115,PADI2,292,1.92025,222,1.23645,30,-2.1177,15,-3.4008,47,-1.5399
ENSG00000179051,RCC2,14,-0.4801,23,0.35905,32,0.89365,17,-0.1394,14,-0.4576
ENSG00000074964,ARHGEF10L,7,-1.4069,24,0.62253,12,-0.5237,17,-0.0088,22,0.53176
ENSG00000117154,IGSF21,17,-2.2816,92,0.49937,86,0.31906,99,0.75843,52,-0.5258
ENSG00000159423,ALDH4A1,8,-1.7632,42,1.08791,25,0.06759,13,-1.0600,37,0.84293
ENSG00000127481,UBR4,52,1.28836,11,-1.4811,52,1.06469,14,-1.2336,27,-0.0368
ENSG00000127463,EMC1,21,-0.3544,24,-0.0808,32,0.34421,26,0.03209,28,0.14823
ENSG00000053372,MRTO4,15,-1.7553,34,-0.4239,71,0.79832,53,0.41032,54,0.40858
ENSG00000053371,AKR7A2,24,-0.9556,66,0.87163,19,-1.1721,40,-0.0997,50,0.33127
ENSG00000077549,CAPZB,126,-0.6920,173,-0.1516,208,0.16492,241,0.54708,175,-0.1255
ENSG00000173436,MICOS10,307,-0.4495,472,0.31522,139,-1.6126,475,0.38261,426,0.12731
ENSG00000158747,NBL1,27,-2.7063,147,-0.0159,170,0.21904,217,0.86853,157,0.10035
ENSG00000162545,CAMK2N1,1062,-0.5604,814,-0.9997,1534,0.07319,1253,-0.3131,2806,1.31075
ENSG00000090432,MUL1,11,-0.7741,13,-0.5232,28,0.68511,23,0.48551,18,-0.0208
ENSG00000158828,PINK1,155,-1.8093,565,0.34786,385,-0.3079,653,0.74746,448,-0.0802
ENSG00000244038,DDOST,15,-1.2297,38,0.33539,17,-0.9479,47,0.89326,26,-0.3266
ENSG00000117245,KIF17,2,-3.1106,22,0.26821,18,-0.1396,31,1.06999,17,-0.2347
ENSG00000189410,SH2D5,4,-3.1066,30,-0.2370,41,0.25326,54,1.00719,38,0.14928
ENSG00000127483,HP1BP3,374,1.17603,108,-1.1035,296,0.58287,153,-0.5913,177,-0.2808
ENSG00000075151,EIF4G3,258,0.66429,114,-0.8038,334,1.02091,154,-0.3218,138,-0.4838
ENSG00000117298,ECE1,26,0.40211,37,1.13706,22,0.09562,7,-1.8021,19,-0.1745
ENSG00000076864,RAP1GAP,28,-2.5547,145,0.08391,144,0.06820,246,1.41755,77,-0.9926
ENSG00000090686,USP48,137,1.28881,41,-0.9510,94,0.42620,54,-0.5387,53,-0.5185
ENSG00000070831,CDC42,142,-0.5386,203,0.07786,183,-0.0971,263,0.67603,139,-0.5732
ENSG00000173372,C1QA,18,-0.2160,55,2.20865,8,-1.4659,6,-1.9834,15,-0.4985
ENSG00000173369,C1QB,27,-0.0564,77,2.25201,8,-1.7688,10,-1.7714,16,-0.8810
ENSG00000004487,KDM1A,23,-1.0550,37,-0.2671,74,0.90403,50,0.30438,43,0.02137
ENSG00000169641,LUZP1,43,-0.8657,29,-1.4638,209,1.90115,78,0.18641,62,-0.2355
ENSG00000125944,HNRNPR,168,0.61101,76,-0.7980,145,0.28991,117,-0.0787,115,-0.0946
ENSG00000142676,RPL11,915,0.50890,1110,0.90275,216,-1.7963,489,-0.6831,618,-0.2132
ENSG00000011007,ELOA,36,0.75578,17,-0.5964,30,0.34933,18,-0.5654,26,0.11199
ENSG00000057757,PITHD1,75,-1.3493,143,-0.2873,170,0.02405,255,0.96167,155,-0.1472
ENSG00000011009,LYPLA2,7,-1.8660,18,-0.5088,30,0.33812,39,1.07442,23,-0.1028
ENSG00000117305,HMGCL,16,-0.1303,18,0.08436,17,-0.0831,17,-0.0937,19,0.19973
ENSG00000189266,PNRC2,43,-0.3917,60,0.20543,47,-0.2143,60,0.24371,51,-0.0717
ENSG00000188529,SRSF10,74,0.29606,59,-0.1026,66,0.08930,57,-0.1792,61,-0.0363
ENSG00000001461,NIPAL3,347,1.67613,156,-0.0024,174,0.17498,93,-0.9700,51,-1.8418
ENSG00000133226,SRRM1,794,2.62227,111,-1.4277,267,0.03187,88,-1.9323,138,-1.0788
ENSG00000169504,CLIC4,143,2.07684,113,1.45202,7,-2.9796,6,-3.5302,8,-2.9729
ENSG00000117614,SYF2,165,0.67568,97,-0.3158,122,0.08463,101,-0.2766,105,-0.1815
ENSG00000117616,RSRP1,95,0.57625,91,0.48711,73,0.07019,56,-0.4414,44,-0.8123
ENSG00000183726,TMEM50A,71,0.18644,58,-0.1610,51,-0.3463,60,-0.1081,74,0.26430
ENSG00000204178,MACO1,70,1.06605,20,-1.1792,75,1.01608,33,-0.4181,26,-0.7340
ENSG00000117643,MAN1C1,14,-1.0682,18,-0.6600,25,-0.1393,36,0.62962,36,0.53961
ENSG00000162430,SELENON,15,-1.1055,50,0.97933,33,0.13124,21,-0.6889,37,0.39386
ENSG00000117640,MTFR1L,26,-1.4461,68,0.14490,90,0.58087,61,-0.0755,84,0.54868
ENSG00000117632,STMN1,872,-0.8205,1192,-0.2917,1020,-0.5060,2130,0.95840,1262,-0.1929
ENSG00000158008,EXTL1,4,-3.5691,26,-0.7393,65,0.81760,56,0.77974,52,0.50200
ENSG00000142684,ZNF593,6,-2.6298,36,0.16584,23,-0.5389,49,0.94986,36,0.15881
ENSG00000142669,SH3BGRL3,131,-1.0703,249,0.01752,201,-0.3216,336,0.68442,250,0.01949
ENSG00000158062,UBXN11,3,-2.8309,13,-0.8302,27,0.39006,22,0.08433,44,1.43466
ENSG00000117682,DHDDS,5,-1.9895,19,-0.0332,23,0.30285,27,0.71544,20,0.09589
ENSG00000198830,HMGN2,232,0.42685,281,0.80993,100,-0.9457,119,-0.8330,180,-0.0430
ENSG00000117713,ARID1A,87,0.57425,62,-0.0490,98,0.69925,44,-0.7245,56,-0.2336
ENSG00000204160,ZDHHC18,10,-1.1625,28,0.66830,29,0.62885,23,0.33185,11,-0.8995
ENSG00000142751,GPN2,17,-0.2080,25,0.48010,19,-0.0143,19,0.03382,15,-0.3979
ENSG00000090273,NUDC,165,-0.7696,296,0.24574,217,-0.2820,292,0.25138,287,0.19013
ENSG00000253368,TRNP1,9,-2.6243,36,-0.4808,36,-0.4498,77,1.11949,61,0.42815
ENSG00000090020,SLC9A1,3,-2.1404,8,-0.8718,14,0.14537,21,1.04500,16,0.39506
ENSG00000142784,WDTC1,16,-0.9377,32,0.29121,44,0.78179,25,-0.1829,30,0.13891
ENSG00000186501,TMEM222,34,-0.8543,87,0.81281,60,0.08674,55,-0.0809,51,-0.1927
ENSG00000158195,WASF2,187,2.28959,70,0.05317,52,-0.3987,13,-2.7553,36,-1.0669
ENSG00000126705,AHDC1,16,-1.4745,39,-0.0216,77,1.11234,49,0.48035,30,-0.4801
ENSG00000126709,IFI6,64,-0.8747,165,0.84300,108,0.02354,127,0.37737,59,-0.9969
ENSG00000009780,FAM76A,20,-0.0733,15,-0.5193,33,0.72086,23,0.15715,19,-0.1744
ENSG00000117758,STX12,72,-0.7469,116,0.07992,111,0.00339,140,0.50442,102,-0.1581
ENSG00000117751,PPP1R8,33,0.10458,39,0.43973,19,-0.7469,29,-0.0966,29,-0.1229
ENSG00000117748,RPA2,26,-1.4259,60,-0.0828,67,0.10792,89,0.79163,60,-0.0819
ENSG00000126698,DNAJC8,266,0.43760,100,-1.2459,206,-0.0334,196,-0.1445,289,0.59694
ENSG00000130770,ATP5IF1,201,-1.8714,463,-0.5352,204,-1.7289,999,1.08157,885,0.64360
ENSG00000204138,PHACTR4,113,2.69148,28,-0.4222,33,-0.1255,8,-2.5137,11,-1.8959
ENSG00000180098,TRNAU1AP,27,0.29604,24,0.05113,13,-0.8341,27,0.30731,18,-0.4554
ENSG00000198492,YTHDF2,42,-0.8264,37,-1.0179,110,0.79855,80,0.35574,85,0.41815
ENSG00000116350,SRSF4,128,1.05340,57,-0.4699,71,-0.0739,57,-0.5268,67,-0.1802
ENSG00000116353,MECR,11,-2.0342,38,-0.1024,30,-0.4408,53,0.61137,56,0.65352
ENSG00000162511,LAPTM5,29,0.29513,56,1.66845,7,-1.8967,10,-1.5883,21,-0.3004
ENSG00000162512,SDC3,35,-1.3437,149,1.30387,101,0.41662,54,-0.7075,75,-0.0766
ENSG00000134644,PUM1,95,-0.4153,100,-0.3354,250,1.22778,130,0.15897,88,-0.5409
ENSG00000121766,ZCCHC17,164,-0.1401,136,-0.4651,195,0.15049,182,0.05432,217,0.36854
ENSG00000121769,FABP3,18,-2.8397,68,-0.8188,59,-0.9611,218,1.78117,106,-0.0686
ENSG00000162517,PEF1,26,-1.6574,70,-0.0355,64,-0.1687,95,0.62762,87,0.35409
ENSG00000084636,COL16A1,64,0.17363,92,0.86890,69,0.27316,45,-0.4927,33,-0.9475
ENSG00000121753,ADGRB2,41,-2.5787,138,-0.6772,277,0.49578,303,0.90236,250,0.37169
ENSG00000184007,PTP4A2,1408,2.58124,424,-0.1832,226,-1.1337,181,-1.7067,131,-2.0774
ENSG00000121774,KHDRBS1,132,0.12899,137,0.18844,158,0.39985,106,-0.2998,109,-0.2121
ENSG00000025800,KPNA6,94,0.13783,50,-0.9393,152,0.93692,85,-0.0511,87,0.00835
ENSG00000084652,TXLNA,36,0.42243,35,0.36675,43,0.68088,22,-0.5131,17,-0.8322
ENSG00000160050,CCDC28B,9,-1.3176,25,0.35434,9,-1.2524,13,-0.8112,45,1.56863
ENSG00000084623,EIF3I,49,-0.9841,93,0.11209,92,0.09080,107,0.44270,87,0.01064
ENSG00000175130,MARCKSL1,675,1.78607,389,0.54291,77,-2.0239,88,-2.1046,222,-0.4709
ENSG00000160058,BSDC1,51,-0.2745,57,-0.0726,81,0.51113,63,0.11490,54,-0.1588
ENSG00000176261,ZBTB8OS,36,-0.3249,39,-0.1803,23,-0.9660,53,0.44105,50,0.26682
ENSG00000162521,RBBP4,82,0.00782,67,-0.3593,112,0.51152,82,0.00526,81,-0.0133
ENSG00000162522,KIAA1522,3,-2.5244,9,-0.8476,10,-0.6619,18,0.44699,31,1.42695
ENSG00000134684,YARS,28,-2.0310,100,0.06202,127,0.43475,138,0.79250,87,-0.1997
ENSG00000160097,FNDC5,6,-1.8767,11,-0.9672,37,1.07419,31,1.05798,16,-0.3735
ENSG00000121905,HPCA,17,-3.5320,74,-1.3663,124,-0.4885,224,0.62509,355,1.52911
ENSG00000121900,TMEM54,37,-0.2709,55,0.40723,35,-0.3442,46,0.10823,40,-0.1593
ENSG00000004455,AK2,64,0.88388,66,0.94934,20,-1.1012,18,-1.4611,35,-0.2391
ENSG00000142920,AZIN2,19,-0.6840,43,0.78438,22,-0.4005,35,0.43197,17,-0.8695
ENSG00000160094,ZNF362,10,-0.8516,17,0.11553,29,0.93962,15,-0.1797,17,0.13185
ENSG00000134686,PHC2,69,0.30747,65,0.21926,51,-0.2032,51,-0.2504,54,-0.1351
ENSG00000163866,SMIM12,15,-1.9997,44,-0.2365,56,0.17160,80,1.06063,46,-0.1595
ENSG00000116544,DLGAP3,1,-5.0850,34,-0.2015,59,0.71733,33,-0.2648,75,1.39539
ENSG00000163867,ZMYM6,13,-0.5938,19,-0.0161,23,0.30545,18,-0.1191,24,0.46080
ENSG00000116560,SFPQ,473,1.38505,215,-0.1906,206,-0.2356,153,-0.8542,176,-0.5318
ENSG00000146463,ZMYM4,51,0.21320,37,-0.3442,79,0.92149,28,-0.8810,56,0.40066
ENSG00000142687,KIAA0319L,56,-0.4286,65,-0.1851,124,0.88930,65,-0.2174,81,0.19981
ENSG00000020129,NCDN,53,-3.4639,368,-0.4594,532,0.17130,709,0.90009,643,0.55342
ENSG00000126067,PSMB2,51,-1.0424,117,0.38737,77,-0.3323,130,0.69651,73,-0.4535
ENSG00000142686,C1orf216,11,-3.1644,80,-0.1547,115,0.45000,120,0.69543,109,0.39974
ENSG00000134698,AGO4,12,-0.6278,36,1.51110,12,-0.5883,11,-0.8531,16,-0.1479
ENSG00000092847,AGO1,43,0.13854,55,0.59536,55,0.51007,24,-0.9510,38,-0.0736
ENSG00000126070,AGO3,113,1.87560,24,-1.1054,92,1.13844,21,-1.4769,20,-1.3824
ENSG00000116863,ADPRHL2,20,-0.1818,25,0.18499,15,-0.6129,26,0.25597,22,-0.0747
ENSG00000054116,TRAPPC3,19,-1.3939,36,-0.3941,25,-0.8934,68,0.92733,56,0.39814
ENSG00000116871,MAP7D1,234,0.18834,214,0.02108,173,-0.3162,207,-0.0432,211,0.00247
ENSG00000054118,THRAP3,238,1.13804,77,-0.9293,252,1.05538,84,-0.8768,102,-0.4775
ENSG00000196182,STK40,9,-1.0957,29,0.93265,17,-0.0790,15,-0.3097,20,0.17520
ENSG00000181817,LSM10,16,-1.4628,33,-0.2844,13,-1.6209,53,0.67379,60,0.81596
ENSG00000116885,OSCP1,2,-3.2123,18,-0.0875,12,-0.6900,28,0.89155,26,0.60806
ENSG00000116898,MRPS15,30,-1.2685,57,-0.2099,25,-1.4764,98,0.94337,77,0.32163
ENSG00000163873,GRIK3,1,-4.1781,32,0.91494,49,1.57069,23,0.37530,6,-1.9549
ENSG00000163875,MEAF6,36,-1.6279,98,0.00872,120,0.32473,135,0.71028,93,-0.0932
ENSG00000134697,GNL2,42,1.16706,14,-0.8466,22,-0.1163,20,-0.2624,19,-0.3689
ENSG00000185090,MANEAL,4,-2.5768,13,-0.9727,31,0.40128,43,1.45739,21,-0.2053
ENSG00000197982,C1orf122,242,-0.0532,326,0.50019,101,-1.3895,229,-0.1738,285,0.24537
ENSG00000188786,MTF1,36,1.48315,18,0.02812,24,0.48895,9,-1.1009,7,-1.4459
ENSG00000183431,SF3A3,33,-0.3503,34,-0.2803,42,0.05329,43,0.12723,49,0.36167
ENSG00000183520,UTP11,35,0.27340,9,-1.8466,26,-0.2005,27,-0.1823,51,1.04725
ENSG00000116954,RRAGC,42,-0.1322,55,0.35796,47,0.06942,42,-0.1372,42,-0.1222
ENSG00000174574,AKIRIN1,76,-0.1403,54,-0.7250,116,0.57104,106,0.55681,64,-0.4424
ENSG00000168653,NDUFS5,376,-1.4549,783,-0.2467,493,-0.9382,1278,0.79080,1179,0.50464
ENSG00000127603,MACF1,591,1.52107,186,-0.7217,470,0.84212,116,-1.6116,228,-0.3761
ENSG00000090621,PABPC4,109,0.85142,58,-0.3365,89,0.39022,39,-1.0971,80,0.25575
ENSG00000116983,HPCAL4,30,-3.5848,259,-0.2563,513,0.89445,313,0.09044,483,0.92575
ENSG00000084072,PPIE,32,-0.3100,47,0.37991,31,-0.3052,43,0.24510,32,-0.3145
ENSG00000131236,CAP1,135,-0.2920,158,-0.0163,177,0.17122,167,0.09985,164,0.05624
ENSG00000131238,PPT1,57,-1.1571,130,0.25600,98,-0.2363,141,0.46696,120,0.09804
ENSG00000117000,RLF,34,1.12540,7,-1.5222,41,1.29047,14,-0.5973,12,-0.7100
ENSG00000084073,ZMPSTE24,24,-0.2795,29,0.03889,46,0.79057,33,0.32146,16,-0.9456
ENSG00000049089,COL9A2,80,1.28240,101,1.84564,16,-1.4863,6,-3.2025,14,-1.8242
ENSG00000084070,SMAP2,48,-1.3129,67,-0.7632,174,0.83263,134,0.52487,123,0.28571
ENSG00000117016,RIMS3,10,-3.6105,45,-1.3240,175,0.92701,128,0.53986,166,0.98391
ENSG00000066136,NFYC,14,-1.0193,34,0.45174,38,0.55673,26,-0.0266,27,-0.0109
ENSG00000179862,CITED4,4,-2.0284,16,0.35632,20,0.63747,16,0.39455,13,-0.0725
ENSG00000127124,HIVEP3,11,-0.7541,8,-1.1907,47,1.71567,18,0.05692,17,-0.0319
ENSG00000198815,FOXJ3,14,-1.5375,27,-0.5245,73,1.12813,46,0.44326,39,0.08046
ENSG00000177181,RIMKLA,10,-1.6936,8,-1.9719,56,1.16912,43,0.98275,29,0.08739
ENSG00000127125,PPCS,46,-0.4128,54,-0.1359,38,-0.6795,59,0.00731,85,0.71259
ENSG00000186409,CCDC30,41,0.57831,13,-1.3280,77,1.62140,16,-1.1438,33,0.17752
ENSG00000171960,PPIH,6,-1.4955,23,0.62919,6,-1.4997,19,0.37508,20,0.37356
ENSG00000065978,YBX1,248,1.24923,149,0.20499,49,-1.5259,58,-1.5063,156,0.29959
ENSG00000164008,C1orf50,20,-0.4523,33,0.47439,15,-0.7723,29,0.30730,23,-0.1865
ENSG00000177868,SVBP,43,-0.2237,58,0.31081,47,-0.0568,45,-0.1657,52,0.12328
ENSG00000117394,SLC2A1,37,0.02519,63,1.07702,27,-0.4266,29,-0.4056,23,-0.7286
ENSG00000117395,EBNA1BP2,48,-1.0973,76,-0.3347,73,-0.3740,118,0.54436,123,0.53825
ENSG00000179178,TMEM125,122,3.06228,41,0.26743,9,-1.9811,6,-2.9530,2,-4.2822
ENSG00000066322,ELOVL1,165,2.59506,68,0.39037,9,-2.6131,9,-3.0065,22,-1.4648
ENSG00000159479,MED8,12,-1.0115,24,0.09765,25,0.15547,27,0.37021,24,0.10606
ENSG00000198198,SZT2,37,1.37756,23,0.39364,15,-0.3434,9,-1.2781,12,-0.7643
